Date,US_Stocks,Intl_Stocks,US_Bonds,REITs,Gold
2020-01-01,100.00,100.00,100.00,100.00,100.00
2020-02-01,98.50,97.20,100.50,99.00,101.50
2020-03-01,85.00,82.00,102.00,88.00,108.00
2020-04-01,95.50,90.00,103.00,92.00,110.50
2020-05-01,102.00,95.50,103.50,96.00,112.00
2020-06-01,105.50,98.00,104.00,98.50,109.00
2020-07-01,110.00,102.00,104.50,102.00,115.00
2020-08-01,118.00,108.00,105.00,108.00,120.00
2020-09-01,115.00,105.00,105.50,105.00,118.50
2020-10-01,112.00,102.50,106.00,103.00,117.00
2020-11-01,125.00,115.00,106.50,112.00,114.00
2020-12-01,130.00,120.00,107.00,116.00,116.50
2021-01-01,128.00,118.00,107.50,115.00,118.00
2021-02-01,135.00,125.00,107.00,120.00,115.00
2021-03-01,142.00,132.00,107.50,125.00,112.00
2021-04-01,148.00,138.00,108.00,130.00,115.50
2021-05-01,145.00,135.00,108.50,128.00,118.00
2021-06-01,152.00,142.00,109.00,133.00,120.00
2021-07-01,158.00,148.00,109.50,138.00,117.00
2021-08-01,162.00,152.00,110.00,142.00,119.00
2021-09-01,155.00,145.00,110.50,138.00,121.00
2021-10-01,168.00,158.00,111.00,145.00,123.00
2021-11-01,165.00,155.00,111.50,143.00,125.00
2021-12-01,175.00,165.00,112.00,150.00,122.00
2022-01-01,170.00,160.00,112.50,148.00,128.00
2022-02-01,165.00,155.00,113.00,145.00,135.00
2022-03-01,172.00,162.00,112.00,150.00,142.00
2022-04-01,168.00,158.00,111.50,148.00,145.00
2022-05-01,175.00,165.00,111.00,152.00,148.00
2022-06-01,165.00,155.00,110.50,148.00,152.00
2022-07-01,178.00,168.00,110.00,155.00,149.00
2022-08-01,175.00,165.00,110.50,153.00,151.00
2022-09-01,168.00,158.00,110.00,150.00,154.00
2022-10-01,175.00,165.00,109.50,153.00,156.00
2022-11-01,182.00,172.00,110.00,158.00,158.00
2022-12-01,178.00,168.00,110.50,156.00,160.00
2023-01-01,185.00,175.00,111.00,160.00,157.00
2023-02-01,190.00,180.00,111.50,163.00,159.00
2023-03-01,188.00,178.00,112.00,162.00,162.00
2023-04-01,195.00,185.00,112.50,168.00,160.00
2023-05-01,202.00,192.00,113.00,172.00,163.00
2023-06-01,208.00,198.00,113.50,176.00,161.00
2023-07-01,215.00,205.00,114.00,182.00,164.00
2023-08-01,210.00,200.00,114.50,180.00,167.00
2023-09-01,205.00,195.00,115.00,178.00,170.00
2023-10-01,198.00,188.00,115.50,175.00,173.00
2023-11-01,212.00,202.00,116.00,183.00,171.00
2023-12-01,220.00,210.00,116.50,188.00,174.00
